2021.05.31; 06:45:10; SET   ; INFO   ; ###########################################################################
2021.05.31; 06:45:10; SET   ; INFO   ; Expert:                        TraderAgent [EURUSD] - 1300050632
2021.05.31; 06:45:10; SET   ; INFO   ; Symbol:                        EURUSD
2021.05.31; 06:45:10; SET   ; INFO   ; Period:                        M15
2021.05.31; 06:45:10; SET   ; INFO   ; Account Company:               FF Trader S.R.O.
2021.05.31; 06:45:10; SET   ; INFO   ; Account Currency:              USD
2021.05.31; 06:45:10; SET   ; INFO   ; Account Leverage:              100
2021.05.31; 06:45:10; SET   ; INFO   ; Account Server:                FTMO-Server2
2021.05.31; 06:45:10; SET   ; INFO   ; Expert Enabled:                True
2021.05.31; 06:45:10; SET   ; INFO   ; Trade Allowed                  True
2021.05.31; 06:45:10; SET   ; INFO   ; Dll Allowed                    True
2021.05.31; 06:45:10; SET   ; INFO   ; Demo:                          True
2021.05.31; 06:45:10; SET   ; INFO   ; Testing:                       False
2021.05.31; 06:45:10; SET   ; INFO   ;  
2021.05.31; 06:45:10; SET   ; INFO   ; Digits:                        5
2021.05.31; 06:45:10; SET   ; INFO   ; Spread:                        4.0
2021.05.31; 06:45:10; SET   ; INFO   ; Point:                         0.00001000
2021.05.31; 06:45:10; SET   ; INFO   ; Stop level:                    0.0
2021.05.31; 06:45:10; SET   ; INFO   ; Lot size:                      100000
2021.05.31; 06:45:10; SET   ; INFO   ; Minimum LOT:                   0.01000
2021.05.31; 06:45:10; SET   ; INFO   ; Maximum LOT:                   1000
2021.05.31; 06:45:10; SET   ; INFO   ; Lot step:                      0.010
2021.05.31; 06:45:10; SET   ; INFO   ; Lot cost (init):               0.00
2021.05.31; 06:45:10; SET   ; INFO   ; Lot cost (req):                1219.93
2021.05.31; 06:45:10; SET   ; INFO   ; Lot cost (maintenance):        0.00
2021.05.31; 06:45:10; SET   ; INFO   ; Lot cost (hedged):             0.00
2021.05.31; 06:45:10; SET   ; INFO   ; Tick value:                    1.00000000
2021.05.31; 06:45:10; SET   ; INFO   ; Tick size:                     0.00001000
2021.05.31; 06:45:10; SET   ; INFO   ; ###########################################################################
2021.05.31; 06:45:10; SET   ; INFO   ; Log level:                     TRACE  
2021.05.31; 06:45:10; NORMAL; TRACE  ; Pip multiplier (auto): 10, Digits: 5
2021.05.31; 06:45:10; NORMAL; INFO   ; Product version: v2.6.0 Build 360
2021.05.31; 06:45:10; NORMAL; INFO   ; IceLock DLL version: 2.6.0.313
2021.05.31; 06:45:10; NORMAL; INFO   ; IceLock fingerprint: 2C7D41D7E5A7E0904B17A8A2EE182960FFBA3C3E
2021.05.31; 06:45:10; NORMAL; SUCCESS; ***************************************************************************
2021.05.31; 06:45:10; NORMAL; SUCCESS; *** Your COMPUTER ID: 934FDE03ABE08E0ED58DEE86C1DE299D626B9484
2021.05.31; 06:45:10; NORMAL; SUCCESS; ***************************************************************************
2021.05.31; 06:45:10; NORMAL; TRACE  ; Delete predefined lines...
2021.05.31; 06:45:10; NORMAL; TRACE  ; #5972194: NO global SL, and NO chart line SL, reset from OrderStopLoss: 1.213
2021.05.31; 06:45:10; NORMAL; TRACE  ; #5972194: NO global TP, and NO chart line TP, reset from OrderTakeProfit: 1.25
2021.05.31; 07:30:32; SET   ; INFO   ; ###########################################################################
2021.05.31; 07:30:32; SET   ; INFO   ; Expert:                        TraderAgent [EURUSD] - 1300050632
2021.05.31; 07:30:32; SET   ; INFO   ; Symbol:                        EURUSD
2021.05.31; 07:30:32; SET   ; INFO   ; Period:                        M15
2021.05.31; 07:30:32; SET   ; INFO   ; Account Company:               FF Trader S.R.O.
