GBPCAD,1038
GBPUSD,994
GBPJPY,905
EURGBP,-808
GBPAUD,688
GBPCHF,675
EURCAD,621
CADCHF,-617
NZDCAD,593
GBPNZD,545
AUDCAD,521
USDCHF,-472
USDJPY,-408
EURUSD,391
NZDUSD,370
CADJPY,-368
EURJPY,331
AUDUSD,278
EURNZD,-264
AUDJPY,204
AUDNZD,-172
NZDJPY,162
USDCAD,158
CHFJPY,52
EURCHF,38
EURAUD,-31
AUDCHF,-25
NZDCHF,3

GBP,8076
NZD,1456
CHF,643
EUR,397
AUD,213
JPY,-1254
USD,-3936
CAD,-5594
